Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2026-01-04,Steelers,Ravens,4,1:00,3,10,RAV 26,26-24,Aaron Rodgers pass complete deep left to Calvin Austin for 26 yards touchdown,26,,,
2025-12-21,Steelers,Lions,2,0:11,2,10,DET 45,9-10,Aaron Rodgers pass complete deep right to Kenneth Gainwell for 45 yards touchdown. Penalty on Alex Anzalone: Defensive Pass Interference 15 yards (declined),45,,,
2025-12-15,Steelers,Dolphins,3,11:26,2,7,MIA 19,13-3,Aaron Rodgers pass complete deep middle to Marquez Valdes-Scantling for 19 yards touchdown,19,,,
2025-12-15,Steelers,Dolphins,3,5:06,3,12,MIA 28,20-3,Aaron Rodgers pass complete short middle to D.K. Metcalf for 28 yards touchdown,28,,,
2025-12-07,Steelers,Ravens,3,3:38,3,4,RAV 38,26-16,Aaron Rodgers pass complete short right to Jaylen Warren for 38 yards touchdown,38,,,
2025-11-16,Steelers,Bengals,1,10:18,2,9,CIN 11,6-0,Aaron Rodgers pass complete short left to Kenneth Gainwell for 11 yards touchdown,11,,,
2025-11-09,Steelers,Chargers,4,3:04,3,4,SDG 27,9-25,Aaron Rodgers pass complete short middle to Roman Wilson for 27 yards touchdown,27,,,
2025-11-02,Steelers,Colts,2,4:27,2,8,CLT 12,13-7,Aaron Rodgers pass complete short middle to Pat Freiermuth for 12 yards touchdown,12,,,
2025-10-26,Steelers,Packers,2,0:37,1,2,GNB 2,15-7,Aaron Rodgers pass complete short right to D.K. Metcalf for 2 yards touchdown,2,,,
2025-10-26,Steelers,Packers,4,2:16,1,10,GNB 21,25-35,Aaron Rodgers pass incomplete deep middle intended for Roman Wilson Replay Assistant challenged the pass completion ruling and the original play was overturned. Aaron Rodgers pass complete deep middle to Roman Wilson for 21 yards touchdown,21,,,
2025-10-16,Steelers,Bengals,1,11:00,3,6,CIN 10,6-0,Aaron Rodgers pass complete short middle to Jonnu Smith for 10 yards touchdown,10,,,
