Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2022-12-17,Colts,Vikings,1,3:55,1,1,MIN 1,16-0,Matt Ryan pass complete short right to Deon Jackson for 1 yard touchdown,1,6.970,7.000,.03
2022-12-04,Colts,Cowboys,1,2:42,2,9,DAL 14,9-7,Matt Ryan pass complete short left to Ashton Dulin for 14 yards touchdown,14,4.110,7.000,2.89
2022-12-04,Colts,Cowboys,3,3:49,2,13,DAL 15,19-21,Matt Ryan pass complete short left to Alec Pierce for 15 yards touchdown,15,3.660,7.000,3.34
2022-11-28,Colts,Steelers,3,0:20,2,6,PIT 6,16-16,Matt Ryan pass complete short left to Michael Pittman for 6 yards touchdown,6,4.950,7.000,2.05
2022-11-13,Colts,Raiders,4,5:14,2,9,RAI 35,25-20,Matt Ryan pass complete short middle to Parris Campbell for 35 yards touchdown,35,2.770,7.000,4.23
2022-10-23,Colts,Titans,3,4:12,2,4,OTI 4,6-13,Matt Ryan pass complete short left to Parris Campbell for 4 yards touchdown,4,5.340,7.000,1.66
2022-10-16,Colts,Jaguars,2,2:12,3,4,JAX 4,9-14,Matt Ryan pass complete short left to Parris Campbell for 4 yards touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,4,4.490,7.000,2.51
2022-10-16,Colts,Jaguars,4,12:52,2,10,JAX 10,25-21,Matt Ryan pass complete short left to Jelani Woods for 10 yards touchdown,10,4.190,7.000,2.81
2022-10-16,Colts,Jaguars,4,0:23,3,13,JAX 32,32-27,Matt Ryan pass complete deep right to Alec Pierce for 32 yards touchdown,32,2.020,7.000,4.98
2022-10-02,Colts,Titans,2,2:20,2,14,OTI 14,9-24,Matt Ryan pass complete short left to Mo Alie-Cox for 14 yards touchdown. Penalty on Roger McCreary: Illegal Contact 5 yards (declined),14,3.580,7.000,3.42
2022-10-02,Colts,Titans,3,7:31,2,7,OTI 7,16-24,Matt Ryan pass complete short left to Mo Alie-Cox for 7 yards touchdown,7,4.760,7.000,2.24
