Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2026-01-25,Rams,Seahawks,2,2:00,2,8,SEA 9,12-10,Matthew Stafford pass complete short left to Kyren Williams for 9 yards touchdown,9,,,
2026-01-25,Rams,Seahawks,3,9:45,1,2,SEA 2,19-24,Matthew Stafford pass complete short left to Davante Adams for 2 yards touchdown,2,,,
2026-01-25,Rams,Seahawks,3,2:13,1,10,SEA 34,26-31,Matthew Stafford pass complete deep left to Puka Nacua for 34 yards touchdown Replay Assistant challenged the pass completion ruling and the play was upheld.,34,,,
2026-01-10,Rams,Panthers,1,11:39,1,10,CAR 14,6-0,Matthew Stafford pass complete short middle to Puka Nacua for 14 yards touchdown,14,,,
2026-01-10,Rams,Panthers,4,8:52,2,6,CAR 13,26-24,Matthew Stafford pass complete short middle to Kyren Williams for 13 yards touchdown,13,,,
2026-01-10,Rams,Panthers,4,0:43,1,10,CAR 19,33-31,Matthew Stafford pass complete deep right to Colby Parkinson for 19 yards touchdown,19,,,
2026-01-04,Rams,Cardinals,2,1:26,4,2,CRD 2,12-6,Matthew Stafford pass complete short right to Puka Nacua for 2 yards touchdown,2,,,
2026-01-04,Rams,Cardinals,3,0:50,1,10,CRD 21,22-20,Matthew Stafford pass complete short right to Colby Parkinson for 21 yards touchdown,21,,,
2026-01-04,Rams,Cardinals,4,10:44,2,10,CRD 22,29-20,Matthew Stafford pass complete deep right to Tyler Higbee for 22 yards touchdown,22,,,
2026-01-04,Rams,Cardinals,4,4:19,2,1,CRD 1,36-20,Matthew Stafford pass complete short right to Colby Parkinson for 1 yard touchdown,1,,,
2025-12-29,Rams,Falcons,3,5:06,1,10,ATL 27,9-24,Matthew Stafford pass complete deep left to Terrance Ferguson for 27 yards touchdown,27,,,
2025-12-29,Rams,Falcons,4,2:52,1,10,ATL 11,23-24,Matthew Stafford pass complete short right to Puka Nacua for 11 yards touchdown,11,,,
2025-12-18,Rams,Seahawks,2,3:47,2,3,SEA 3,12-7,Matthew Stafford pass complete short left to Terrance Ferguson for 3 yards touchdown,3,,,
2025-12-18,Rams,Seahawks,4,13:36,3,1,SEA 1,29-14,Matthew Stafford pass complete short right to Puka Nacua for 1 yard touchdown,1,,,
2025-12-18,Rams,Seahawks,5,6:36,2,9,SEA 41,36-30,Matthew Stafford pass complete deep middle to Puka Nacua for 41 yards touchdown,41,,,
2025-12-14,Rams,Lions,3,2:32,1,10,DET 26,26-24,Matthew Stafford pass complete deep right to Colby Parkinson for 26 yards touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,26,,,
2025-12-14,Rams,Lions,4,4:54,1,10,DET 11,40-27,Matthew Stafford pass complete short right to Colby Parkinson for 11 yards touchdown,11,,,
2025-12-07,Rams,Cardinals,2,0:18,2,10,CRD 28,23-10,Matthew Stafford pass complete deep left to Puka Nacua for 28 yards touchdown,28,,,
2025-12-07,Rams,Cardinals,3,10:12,3,6,CRD 6,30-10,Matthew Stafford pass complete short middle to Colby Parkinson for 6 yards touchdown,6,,,
2025-12-07,Rams,Cardinals,3,0:18,1,10,CRD 31,37-10,Matthew Stafford pass complete deep left to Puka Nacua for 31 yards touchdown,31,,,
2025-11-30,Rams,Panthers,1,12:13,2,3,CAR 4,6-0,Matthew Stafford pass complete short middle to Davante Adams for 4 yards touchdown,4,,,
