Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2025-12-28,Colts,Jaguars,3,6:02,2,5,JAX 5,16-14,Philip Rivers pass complete short middle to Mo Alie-Cox for 5 yards touchdown,5,,,
2025-12-22,Colts,49ers,1,10:36,2,7,SFO 20,6-0,Philip Rivers pass complete deep middle to Alec Pierce for 20 yards touchdown. Penalty on Clelin Ferrell: Defensive Offside 5 yards (declined),20,,,
2025-12-22,Colts,49ers,2,14:19,3,16,SFO 16,13-14,Philip Rivers pass complete deep middle to Alec Pierce for 16 yards touchdown. Penalty on Darrell Luter: Defensive Pass Interference 15 yards (declined),16,,,
2025-12-14,Colts,Seahawks,2,1:37,3,4,SEA 8,12-3,Philip Rivers pass complete short left to Josh Downs for 8 yards touchdown,8,,,
2021-01-09,Colts,Bills,4,11:36,3,4,BUF 9,16-24,Philip Rivers pass complete short left to Zach Pascal for 9 yards touchdown,9,4.220,7.000,2.78
2021-01-09,Colts,Bills,4,6:20,1,10,BUF 27,22-27,Philip Rivers pass complete deep left to Jack Doyle for 27 yards touchdown,27,3.780,7.000,3.22
2021-01-03,Colts,Jaguars,1,10:20,3,5,JAX 6,6-0,Philip Rivers pass complete short right to T.Y. Hilton for 6 yards touchdown,6,4.210,7.000,2.79
2020-12-27,Colts,Steelers,2,4:08,2,9,PIT 42,20-7,Philip Rivers pass complete deep middle to Zach Pascal for 42 yards touchdown,42,2.310,7.000,4.69
2020-12-20,Colts,Texans,1,0:57,1,10,HTX 11,13-0,Philip Rivers pass complete short middle to Zach Pascal for 11 yards touchdown,11,4.840,7.000,2.16
2020-12-20,Colts,Texans,4,1:53,2,5,HTX 5,26-20,Philip Rivers pass complete short left to Zach Pascal for 5 yards touchdown,5,5.150,7.000,1.85
2020-12-13,Colts,Raiders,1,3:05,3,7,RAI 7,9-0,Philip Rivers pass complete short left to T.Y. Hilton for 7 yards touchdown,7,3.810,7.000,3.19
2020-12-13,Colts,Raiders,2,9:10,1,10,RAI 41,16-14,Philip Rivers pass complete deep left to T.Y. Hilton for 41 yards touchdown touchdown,41,2.850,7.000,4.15
2020-12-06,Colts,Texans,1,9:59,3,6,HTX 21,6-0,Philip Rivers pass complete short left to T.Y. Hilton for 21 yards touchdown,21,3.200,7.000,3.80
2020-12-06,Colts,Texans,2,9:24,4,4,HTX 39,20-10,Philip Rivers pass complete short right to Jonathan Taylor for 39 yards touchdown,39,0.660,7.000,6.34
2020-11-29,Colts,Titans,1,2:40,3,7,OTI 11,6-7,Philip Rivers pass complete short middle to Trey Burton for 11 yards touchdown,11,3.620,7.000,3.38
2020-11-29,Colts,Titans,4,2:38,1,5,OTI 5,26-38,Philip Rivers pass complete short right to T.Y. Hilton for 5 yards touchdown,5,6.060,7.000,.94
2020-11-22,Colts,Packers,1,5:54,1,10,GNB 45,6-7,Philip Rivers pass complete short middle to Michael Pittman for 45 yards touchdown,45,2.590,7.000,4.41
2020-11-22,Colts,Packers,2,1:57,2,9,GNB 17,13-21,Philip Rivers pass complete deep middle to Trey Burton for 17 yards touchdown,17,3.940,7.000,3.06
2020-11-22,Colts,Packers,3,2:03,2,6,GNB 6,23-28,Philip Rivers pass complete short middle to Jack Doyle for 6 yards touchdown,6,4.950,7.000,2.05
2020-11-12,Colts,Titans,2,7:55,2,6,OTI 13,9-10,Philip Rivers pass complete short left to Nyheim Hines for 13 yards touchdown,13,4.500,7.000,2.50
2020-11-01,Colts,Lions,2,11:20,1,10,DET 22,6-7,Philip Rivers pass complete short right to Nyheim Hines for 22 yards touchdown,22,4.110,7.000,2.89
2020-11-01,Colts,Lions,2,5:37,1,7,DET 7,13-7,Philip Rivers pass complete short right to Jack Doyle for 7 yards touchdown,7,5.600,7.000,1.40
2020-11-01,Colts,Lions,2,1:02,2,2,DET 29,20-7,Philip Rivers pass complete deep right to Nyheim Hines for 29 yards touchdown,29,3.650,7.000,3.35
2020-10-18,Colts,Bengals,2,4:43,1,10,CIN 10,13-24,Philip Rivers pass complete short left to Trey Burton for 10 yards touchdown,10,4.910,7.000,2.09
2020-10-18,Colts,Bengals,2,0:20,3,10,CIN 17,20-24,Philip Rivers pass complete deep right to Zach Pascal for 17 yards touchdown,17,3.070,7.000,3.93
2020-10-18,Colts,Bengals,4,15:00,1,10,CIN 14,27-27,Philip Rivers pass complete short right to Jack Doyle for 14 yards touchdown,14,4.650,7.000,2.35
2020-10-04,Colts,Bears,1,8:15,3,5,CHI 13,6-0,Philip Rivers pass complete short middle to Mo Alie-Cox for 13 yards touchdown,13,3.820,7.000,3.18
2020-09-27,Colts,Jets,2,14:16,1,1,NYJ 1,13-7,Philip Rivers pass complete short right to Mo Alie-Cox for 1 yard touchdown,1,6.970,7.000,.03
2020-09-20,Colts,Vikings,4,14:04,1,2,MIN 2,24-3,Philip Rivers pass complete short right to Zach Pascal for 2 yards touchdown,2,6.740,7.000,.26
2020-09-13,Colts,Jaguars,2,4:51,3,8,JAX 8,13-7,Philip Rivers pass complete short left to Nyheim Hines for 8 yards touchdown,8,3.580,7.000,3.42
2019-12-29,Chargers,Chiefs,2,11:49,3,10,KAN 12,6-3,Philip Rivers pass complete short left to Keenan Allen for 12 yards touchdown,12,3.120,7.000,3.88
2019-12-29,Chargers,Chiefs,4,5:28,2,1,KAN 8,20-24,Philip Rivers pass complete short middle to Hunter Henry for 8 yards touchdown,8,5.480,7.000,1.52
2019-12-15,Chargers,Vikings,2,8:46,3,2,MIN 2,9-9,Philip Rivers pass complete short left to Mike Williams for 2 yards touchdown,2,4.950,7.000,2.05
