Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2023-01-16,Buccaneers,Cowboys,3,0:05,1,10,DAL 30,6-24,Tom Brady pass complete deep left to Julio Jones for 30 yards touchdown,30,3.580,7.000,3.42
2023-01-16,Buccaneers,Cowboys,4,2:09,1,8,DAL 8,12-31,Tom Brady pass complete short left to Cameron Brate for 8 yards touchdown,8,5.370,7.000,1.63
2023-01-08,Buccaneers,Falcons,1,9:53,2,6,ATL 8,6-0,Tom Brady pass complete short right to Kyle Rudolph for 8 yards touchdown,8,4.830,7.000,2.17
2023-01-01,Buccaneers,Panthers,2,2:18,1,10,TAM 37,6-14,Tom Brady pass complete short right to Mike Evans for 63 yards touchdown,63,1.400,7.000,5.60
2023-01-01,Buccaneers,Panthers,4,13:58,3,6,TAM 43,16-21,Tom Brady pass complete short right to Mike Evans for 57 yards touchdown,57,0.830,7.000,6.17
2023-01-01,Buccaneers,Panthers,4,6:53,1,10,CAR 30,22-21,Tom Brady pass complete deep right to Mike Evans for 30 yards touchdown,30,3.580,7.000,3.42
2022-12-25,Buccaneers,Cardinals,4,8:07,3,3,CRD 3,12-16,Tom Brady pass complete short left to Rachaad White for 3 yards touchdown,3,4.720,7.000,2.28
2022-12-18,Buccaneers,Bengals,2,14:17,4,1,CIN 1,9-0,Tom Brady pass complete to Russell Gage for 1 yard touchdown,1,3.550,7.000,3.45
2022-12-18,Buccaneers,Bengals,2,1:43,1,5,CIN 5,16-0,Tom Brady pass complete to Chris Godwin for 5 yards touchdown,5,6.060,7.000,.94
2022-12-18,Buccaneers,Bengals,4,0:52,2,5,CIN 5,23-34,Tom Brady pass complete short right to Russell Gage for 5 yards touchdown,5,5.150,7.000,1.85
2022-12-11,Buccaneers,49ers,3,2:56,2,8,SFO 8,6-35,Tom Brady pass complete short middle to Russell Gage for 8 yards touchdown Replay Assistant challenged the runner broke the plane ruling and the play was upheld.,8,4.570,7.000,2.43
2022-12-05,Buccaneers,Saints,4,3:03,1,1,NOR 1,9-16,Tom Brady pass complete short right to Cade Otton for 1 yard touchdown,1,6.970,7.000,.03
2022-12-05,Buccaneers,Saints,4,0:08,3,6,NOR 6,16-16,Tom Brady pass complete short right to Rachaad White for 6 yards touchdown,6,4.040,7.000,2.96
2022-11-27,Buccaneers,Browns,1,5:17,3,5,CLE 10,6-7,Tom Brady pass complete short left to Chris Godwin for 10 yards touchdown Penalty on CLE: Defensive Pass Interference 15 yards (declined),10,4.000,7.000,3.00
2022-11-27,Buccaneers,Browns,3,7:44,3,1,CLE 5,16-10,Tom Brady pass complete short right to Ko Kieft for 5 yards touchdown,5,4.960,7.000,2.04
2022-11-13,Buccaneers,Seahawks,2,13:48,3,10,SEA 31,6-0,Tom Brady pass complete short right to Julio Jones for 31 yards touchdown,31,2.280,7.000,4.72
2022-11-13,Buccaneers,Seahawks,4,10:53,2,4,SEA 4,20-3,Tom Brady pass complete short left to Chris Godwin for 4 yards touchdown,4,5.340,7.000,1.66
2022-11-06,Buccaneers,Rams,4,0:13,1,1,RAM 1,15-13,Tom Brady pass complete short right to Cade Otton for 1 yard touchdown,1,6.970,7.000,.03
2022-10-27,Buccaneers,Ravens,4,0:53,4,8,RAV 8,22-27,Tom Brady pass complete short right to Julio Jones for 8 yards touchdown. Penalty on Jason Pierre-Paul: Defensive Offside 5 yards (declined),8,2.950,7.000,4.05
2022-10-16,Buccaneers,Steelers,4,4:45,1,10,PIT 11,18-20,Tom Brady pass complete short right to Leonard Fournette for 11 yards touchdown,11,4.840,7.000,2.16
2022-10-09,Buccaneers,Falcons,3,6:12,1,1,ATL 1,19-0,Tom Brady pass complete short right to Leonard Fournette for 1 yard touchdown,1,6.970,7.000,.03
2022-10-02,Buccaneers,Chiefs,2,8:55,1,10,KAN 13,9-21,Tom Brady pass complete short middle to Mike Evans for 13 yards touchdown,13,4.710,7.000,2.29
2022-10-02,Buccaneers,Chiefs,2,0:15,2,1,KAN 1,16-28,Tom Brady pass complete short right to Mike Evans for 1 yard touchdown,1,5.910,7.000,1.09
2022-10-02,Buccaneers,Chiefs,4,3:35,1,5,KAN 5,30-41,Tom Brady pass complete short left to Leonard Fournette for 5 yards touchdown,5,6.060,7.000,.94
